,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
TravellersNo,103.0,119.0,117.0,112.0,113.0,125.0,109.0,117.0,111.0,116.0,116.0,109.0,109.0,114.0,115.0,115.0,110.0,114.0,117.0,118.0,115.0,111.0,115.0,113.0,120.0,109.0,118.0,116.0,109.0,123.0
Objective,193.43076811936564,334.3467499922806,320.5285424783139,222.26843604394503,300.1336145180918,264.67574466783896,239.01384299975214,287.2790615654624,265.7259401419685,294.55411613567617,256.28513961972146,213.75828136815892,254.90276507789923,247.37556079461268,234.84813751546858,302.0997014809004,280.91387955761763,275.74067407459137,249.0590851953317,234.34641061843715,217.7726456567843,267.98134946868015,311.34185358726575,352.9473828388637,297.87824626791786,204.61085039161276,215.65012022449835,211.82952147255392,192.68067724843317,356.8177867772056
SharingTravellerOffer,58.0,68.0,66.0,60.0,58.0,66.0,56.0,70.0,62.0,62.0,50.0,68.0,60.0,70.0,56.0,58.0,54.0,68.0,54.0,58.0,54.0,62.0,68.0,58.0,62.0,54.0,62.0,52.0,52.0,66.0
SharedRidesNo,29.0,34.0,33.0,30.0,29.0,33.0,28.0,35.0,31.0,31.0,25.0,34.0,30.0,35.0,28.0,29.0,27.0,34.0,27.0,29.0,27.0,31.0,34.0,29.0,31.0,27.0,31.0,26.0,26.0,33.0
ExpectedSharingFraction,0.5631067961165048,0.5714285714285714,0.5641025641025641,0.5357142857142857,0.5132743362831859,0.528,0.5137614678899083,0.5982905982905983,0.5585585585585585,0.5344827586206896,0.43103448275862066,0.6238532110091743,0.5504587155963303,0.6140350877192983,0.48695652173913045,0.5043478260869565,0.4909090909090909,0.5964912280701754,0.46153846153846156,0.4915254237288136,0.46956521739130436,0.5585585585585585,0.591304347826087,0.5132743362831859,0.5166666666666667,0.4954128440366973,0.5254237288135594,0.4482758620689655,0.47706422018348627,0.5365853658536586
ExpectedRevenue,542.3694281193657,937.1816172303758,854.6051356374312,661.7931949961297,793.2614094293897,692.1556162004401,693.2953898247417,802.6165701692885,755.257110250852,825.9610114045776,721.029164254097,595.2830194039524,721.7355904878096,657.3102922609014,634.878967492256,814.6188105573125,758.6741462885848,766.422900081324,643.2029522707569,700.9046735210771,596.5795029165166,760.5447895448499,838.5949672562134,924.4518091986996,820.4142334787016,572.859847521118,621.6739822061309,580.1490144936312,540.7604940163615,921.5292646565805
ExpectedDistance,348.93866,602.8348672380953,534.0765931591174,439.5247589521847,493.1277949112978,427.4798715326012,454.2815468249896,515.3375086038261,489.5311701088834,531.4068952689014,464.7440246343756,381.52473803579346,466.83282540991047,409.9347314662887,400.03082997678746,512.5191090764121,477.76026673096715,490.68222600673266,394.1438670754252,466.55826290264,378.8068572597323,492.56344007616974,527.2531136689475,571.5044263598359,522.5359872107837,368.2489971295052,406.0238619816324,368.3194930210773,348.07981676792826,564.7114778793749
ExpectedSharingRevenue,412.1101781193656,767.0622672303758,696.7977856374312,497.6673949961297,626.5449594293897,521.45486620044,531.5550398247418,653.4874701692885,608.3595602508519,653.3450614045776,385.4758642540971,477.9342694039524,546.1356904878097,545.3565922609014,444.06006749225605,663.5830605573125,439.07514628858485,504.61335008132403,441.85900227075695,379.5358235210772,397.7749029165166,470.9135395448499,700.3927672562133,739.1476591986996,630.9120334787016,390.462697521118,444.29568220613083,390.0055644936312,368.55494401636145,740.5086646565805
ExpectedSharingDistance,257.52866,483.4528672380952,423.3345931591173,324.34875895218465,376.13379491129785,307.68987153260116,340.7795468249896,410.6855086038261,386.4451701088834,410.2728952689013,229.26802463437556,299.17473803579344,343.60482540991046,331.3707314662887,266.1228299767875,406.52910907641206,253.48026673096717,306.95622600673266,252.8498670754252,241.03626290264003,239.2948572597323,289.31344007616974,430.26911366894757,441.46642635983585,389.5519872107837,240.25099712950524,281.5478619816325,234.88549302107728,227.23381676792826,437.67947787937493
ActualSharingRevenue,413.1868994526151,706.0337666461388,672.3240763591047,476.04631824702,669.1911118508033,543.4386492059812,523.6555189328275,634.8560395113999,601.5636306050981,654.4938117511825,383.3830584303409,477.8535406296016,547.670875533507,542.975962024988,456.61505538695906,698.0394545903393,435.156181808079,516.5424881882424,456.25615010556675,382.2737423236067,399.6640711676409,471.89112141669204,726.009956101759,713.0326911786942,633.7451968811425,382.4244324622916,443.56896080059835,394.5291882409053,368.77238209723004,779.4705372067511
ActualRevenue,543.446149452615,876.1531166461388,830.1314263591046,640.17211824702,835.9075618508033,714.1393992059811,685.3958689328274,783.9851395113999,748.4611806050981,827.1097617511825,718.9363584303408,595.2022906296015,723.2707755335069,654.929662024988,647.433955386959,849.0752045903394,754.755181808079,778.3520381882423,657.6001001055668,703.6425923236067,598.4686711676409,761.5223714166921,864.212156101759,898.3368411786942,823.2473968811425,564.8215824622915,620.9472608005983,584.6726382409053,540.97793209723,960.4911372067511
ActualSharingDistance,259.219,407.806,390.57400000000007,320.47900000000004,432.60800000000006,335.642,327.19699999999995,409.2949999999999,376.3669999999999,402.0269999999999,226.985,293.66,342.525,326.66600000000005,280.34900000000005,452.4919999999999,246.36700000000002,317.239,277.23699999999997,249.23200000000006,239.806,292.282,454.93199999999996,406.0480000000001,385.8259999999998,237.26400000000004,283.212,243.738,227.61300000000006,486.1849999999999
ActualDistance,350.629,527.188,501.3160000000001,435.65500000000003,549.6020000000001,455.432,440.69899999999996,513.9469999999999,479.4529999999999,523.1609999999998,462.461,376.01,465.753,405.23,414.25700000000006,558.4819999999999,470.64700000000005,500.965,418.53099999999995,474.754,379.318,495.532,551.9159999999999,536.0860000000001,518.8099999999998,365.26200000000006,407.688,377.172,348.45900000000006,613.2169999999999
RealisedSharedRides,12.0,16.0,14.0,14.0,11.0,12.0,14.0,17.0,14.0,12.0,15.0,13.0,16.0,17.0,12.0,13.0,16.0,11.0,15.0,10.0,11.0,15.0,13.0,15.0,14.0,16.0,13.0,12.0,11.0,18.0
ActualAcceptanceRate,0.5689655172413793,0.6617647058823529,0.6060606060606061,0.7166666666666667,0.5862068965517241,0.6515151515151515,0.6785714285714286,0.7,0.7096774193548387,0.5967741935483871,0.76,0.6029411764705882,0.7333333333333333,0.7,0.6428571428571429,0.6724137931034483,0.7592592592592593,0.5882352941176471,0.7407407407407407,0.603448275862069,0.6481481481481481,0.7419354838709677,0.6323529411764706,0.7241379310344828,0.7258064516129032,0.7592592592592593,0.6290322580645161,0.7115384615384616,0.6923076923076923,0.696969696969697
